brand,product_name,price,discount,link,similarity_score
3BROS,Men Solid Polo Neck Green T-Shirt,309,69,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.1362763414390864
BLIVE,"Pack of 2 Men Striped Round Neck Dark Blue, Red T-Shirt",299,85,https://www.flipkart.com/blive-striped-men-round-neck-dark-blue-red-t-shirt/p/itm481c77db8af7a?pid=TSHGMGJNKPY6Q3WD&lid=LSTTSHGMGJNKPY6Q3WDWHXMAP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGMGJNKPY6Q3WD.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.10371551133313005
Smartees,Men Typography Round Neck Black T-Shirt,179,82,https://www.flipkart.com/smartees-typography-men-round-neck-black-t-shirt/p/itm40efb6c53e1e9?pid=TSHGDGCZXMRG9FWK&lid=LSTTSHGDGCZXMRG9FWKBIKXNP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGDGCZXMRG9FWK.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.31878402175377923
NB NICKY BOY,Men Printed Round Neck Grey T-Shirt,239,69,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-grey-t-shirt/p/itm27d93351e935e?pid=TSHGMHZYCAVGZCXP&lid=LSTTSHGMHZYCAVGZCXPU2SGKN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_13&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGMHZYCAVGZCXP.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.1362763414390864
BLIVE,Men Color Block Mandarin Collar Maroon T-Shirt,279,86,https://www.flipkart.com/blive-color-block-men-mandarin-collar-maroon-t-shirt/p/itma1de98578223d?pid=TSHFVPFKV2Q8SSMB&lid=LSTTSHFVPFKV2Q8SSMBGWAAS6&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHFVPFKV2Q8SSMB.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.12536693798731732
London Hills,Men Solid Round Neck Black T-Shirt,219,83,https://www.flipkart.com/london-hills-solid-men-round-neck-black-t-shirt/p/itmf5hmhfzgbwxtg?pid=TSHF5HGFPVUGP8N7&lid=LSTTSHF5HGFPVUGP8N7TNMPFX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHF5HGFPVUGP8N7.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.31878402175377923
3BROS,Men Solid Polo Neck Black T-Shirt,309,69,https://www.flipkart.com/3bros-solid-men-polo-neck-black-t-shirt/p/itm5170ea8ee593a?pid=TSHGBAWVZBAHVWMZ&lid=LSTTSHGBAWVZBAHVWMZIRXL1H&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_25&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGBAWVZBAHVWMZ.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.31878402175377923
KAJARU,"Pack of 2 Men Striped Round Neck Pink, Grey T-Shirt",399,78,https://www.flipkart.com/kajaru-striped-men-round-neck-pink-grey-t-shirt/p/itmc437847623115?pid=TSHGM7TAMVJEDFGP&lid=LSTTSHGM7TAMVJEDFGP6VGJCJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_29&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGM7TAMVJEDFGP.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.10964258683453854
TRIPR,Men Printed Round Neck Dark Blue T-Shirt,199,85,https://www.flipkart.com/tripr-printed-men-round-neck-dark-blue-t-shirt/p/itm8e660169d823a?pid=TSHGBJCGZDZCMFR9&lid=LSTTSHGBJCGZDZCMFR90XBB7T&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_33&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGBJCGZDZCMFR9.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.12536693798731732
EyeBogler,"Men Striped Polo Neck White, Blue, Yellow T-Shirt",299,76,https://www.flipkart.com/eyebogler-striped-men-polo-neck-white-blue-yellow-t-shirt/p/itm5e2f30fc1f038?pid=TSHGA4MH4JYR6YAK&lid=LSTTSHGA4MH4JYR6YAK73IUIW&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=4cdf82b1-4abe-4905-8fcd-e3ebb2e9c94d.TSHGA4MH4JYR6YAK.SEARCH&ppt=None&ppn=None&ssid=dfgr07zer40000001684583180112,0.11671773546032795
NB NICKY BOY,Men Printed Round Neck Black T-Shirt,249,67,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BGUD3E33D&lid=LSTTSHGC74BGUD3E33DQK6OU7&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_41&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_c9VzR15Zzr2X3lNikYruM4lyk%2FmMdjaE7eI%2F8tb1yI4hxSnnM0Rsv%2FTDupu3fNIGQHM1xOJNMndWtUW2uBDqVg%3D%3D&ppt=None&ppn=None&ssid=sio3u78zsw0000001684583194677,0.31878402175377923
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,437,65,https://www.flipkart.com/highlander-men-solid-casual-green-shirt/p/itmfgmng9uut6jcs?pid=SHTFGM8VMYZM6EQY&lid=LSTSHTFGM8VMYZM6EQY4W4SU2&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_45&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=1baf1830-091c-4c6d-84fa-09bbf90a9254.SHTFGM8VMYZM6EQY.SEARCH&ppt=None&ppn=None&ssid=sio3u78zsw0000001684583194677,0.10964258683453854
BLIVE,Men Color Block Mandarin Collar Black T-Shirt,269,86,https://www.flipkart.com/blive-color-block-men-mandarin-collar-black-t-shirt/p/itmf2b3327b8000a?pid=TSHFVPFKVYDGDH5T&lid=LSTTSHFVPFKVYDGDH5TFYPZS4&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_53&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=1baf1830-091c-4c6d-84fa-09bbf90a9254.TSHFVPFKVYDGDH5T.SEARCH&ppt=None&ppn=None&ssid=sio3u78zsw0000001684583194677,0.2910691023819054
NB NICKY BOY,"Pack of 2 Men Printed Round Neck Black, Red T-Shirt",414,62,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-red-t-shirt/p/itm22f841e508876?pid=TSHGZ3NFNW7RRDZY&lid=LSTTSHGZ3NFNW7RRDZYAQVMXI&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_57&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_c9VzR15Zzr2X3lNikYruM4lyk%2FmMdjaE7eI%2F8tb1yI72azBfaVXmA%2Fy8qKU4juQPMdgeRf8%2BkOhJMjY1rrbyMw%3D%3D&ppt=None&ppn=None&ssid=sio3u78zsw0000001684583194677,0.2521387069452626
